,RMSE,MAPE
LGBM,27.177703917379695,0.5745513400775375
TCN,32.501551901563516,0.7760742826245415
Mean,27.577738554863654,0.6150080718009597
W-Mean,27.27418326241487,0.6027342328213176
Stacking,26.860210601030072,0.5681010818484219
