,RMSE,MAPE
LGBM,26.800470547645553,0.5678853117794029
TCN,56.1118743242188,1.4284249056992306
Mean,36.42864692378788,0.8736412637204627
W-Mean,31.209951173619665,0.7145277912396903
Stacking,26.786086089868878,0.5676076587302201
